ukia_uri,ukia_year,ukia_number,legislation_uri
http://www.legislation.gov.uk/id/ukia/2009/111,2009,111,
http://www.legislation.gov.uk/id/ukia/2022/20,2022,20,http://www.legislation.gov.uk/id/uksi/2022/194
http://www.legislation.gov.uk/id/ukia/2012/258,2012,258,
http://www.legislation.gov.uk/id/ukia/2017/129,2017,129,http://www.legislation.gov.uk/id/ukpga/2016/25
http://www.legislation.gov.uk/id/ukia/2015/94,2015,94,http://www.legislation.gov.uk/id/uksi/2015/242
http://www.legislation.gov.uk/id/ukia/2024/137,2024,137,http://www.legislation.gov.uk/id/uksi/2024/935
http://www.legislation.gov.uk/id/ukia/2010/477,2010,477,http://www.legislation.gov.uk/id/uksi/2010/2715
http://www.legislation.gov.uk/id/ukia/2021/14,2021,14,http://www.legislation.gov.uk/id/uksi/2021/330
http://www.legislation.gov.uk/id/ukia/2011/409,2011,409,http://www.legislation.gov.uk/id/uksi/2011/2601
http://www.legislation.gov.uk/id/ukia/2014/88,2014,88,http://www.legislation.gov.uk/id/uksi/2014/656
http://www.legislation.gov.uk/id/ukia/2010/122,2010,122,
http://www.legislation.gov.uk/id/ukia/2014/62,2014,62,http://www.legislation.gov.uk/id/uksi/2014/502
http://www.legislation.gov.uk/id/ukia/2012/280,2012,280,
http://www.legislation.gov.uk/id/ukia/2017/151,2017,151,http://www.legislation.gov.uk/id/uksi/2017/1046
http://www.legislation.gov.uk/id/ukia/2025/5,2025,5,http://www.legislation.gov.uk/id/uksi/2013/3113
http://www.legislation.gov.uk/id/ukia/2025/169,2025,169,http://www.legislation.gov.uk/id/uksi/2009/41
http://www.legislation.gov.uk/id/ukia/2013/212,2013,212,http://www.legislation.gov.uk/id/uksi/2013/3077
http://www.legislation.gov.uk/id/ukia/2008/362,2008,362,
http://www.legislation.gov.uk/id/ukia/2013/56,2013,56,http://www.legislation.gov.uk/id/uksi/2013/1652
http://www.legislation.gov.uk/id/ukia/2011/431,2011,431,http://www.legislation.gov.uk/id/uksi/2011/2863
http://www.legislation.gov.uk/id/ukia/2011/154,2011,154,
http://www.legislation.gov.uk/id/ukia/2013/30,2013,30,
http://www.legislation.gov.uk/id/ukia/2018/183,2018,183,http://www.legislation.gov.uk/id/uksi/2018/1383
http://www.legislation.gov.uk/id/ukia/2022/96,2022,96,http://www.legislation.gov.uk/id/uksi/2022/1269
http://www.legislation.gov.uk/id/ukia/2025/191,2025,191,http://www.legislation.gov.uk/id/uksi/2025/950
http://www.legislation.gov.uk/id/ukia/2014/244,2014,244,http://www.legislation.gov.uk/id/uksi/2014/1997
http://www.legislation.gov.uk/id/ukia/2019/115,2019,115,http://www.legislation.gov.uk/id/uksi/2019/791
http://www.legislation.gov.uk/id/ukia/2010/305,2010,305,
http://www.legislation.gov.uk/id/ukia/2022/70,2022,70,http://www.legislation.gov.uk/id/uksi/2022/860
http://www.legislation.gov.uk/id/ukia/2012/24,2012,24,
http://www.legislation.gov.uk/id/ukia/2012/186,2012,186,
http://www.legislation.gov.uk/id/ukia/2013/118,2013,118,
http://www.legislation.gov.uk/id/ukia/2021/64,2021,64,http://www.legislation.gov.uk/id/uksi/2021/985
http://www.legislation.gov.uk/id/ukia/2011/18,2011,18,
http://www.legislation.gov.uk/id/ukia/2008/268,2008,268,
http://www.legislation.gov.uk/id/ukia/2015/276,2015,276,http://www.legislation.gov.uk/id/uksi/2015/1674
http://www.legislation.gov.uk/id/ukia/2011/614,2011,614,
http://www.legislation.gov.uk/id/ukia/2011/337,2011,337,http://www.legislation.gov.uk/id/ukdsi/2012/9780111517727
http://www.legislation.gov.uk/id/ukia/2016/208,2016,208,http://www.legislation.gov.uk/id/uksi/2016/1026
http://www.legislation.gov.uk/id/ukia/2020/58,2020,58,http://www.legislation.gov.uk/id/nisr/2020/196
http://www.legislation.gov.uk/id/ukia/2014/427,2014,427,
