en_uri,filename,en_type,en_title,en_date,legislation_uri,legislation_class,legislation_year,legislation_number,legislation_title
http://www.legislation.gov.uk/ukpga/2007/26/pdfs/ukpgaen_20070026_en.pdf,ukpgaen_20070026_en,UK Act Explanatory Note,Explanatory Note,2008-01-31,http://www.legislation.gov.uk/id/ukpga/2007/26,UnitedKingdomPublicGeneralAct,2007,26,Building Societies (Funding) and Mutual Societies (Transfers) Act 2007
http://www.legislation.gov.uk/asp/2000/8/pdfs/aspen_20000008_en.pdf,aspen_20000008_en,Scottish Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/asp/2000/8,ScottishAct,2000,8,Education and Training (Scotland) Act 2000
http://www.legislation.gov.uk/ukpga/2005/2/pdfs/ukpgaen_20050002_en.pdf,ukpgaen_20050002_en,UK Act Explanatory Note,Explanatory Note,2008-03-03,http://www.legislation.gov.uk/id/ukpga/2005/2,UnitedKingdomPublicGeneralAct,2005,2,Prevention of Terrorism Act 2005
http://www.legislation.gov.uk/asp/2002/14/pdfs/aspen_20020014_en.pdf,aspen_20020014_en,Scottish Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/asp/2002/14,ScottishAct,2002,14,Scottish Qualifications Authority Act 2002
http://www.legislation.gov.uk/asp/2005/9/pdfs/aspen_20050009_en.pdf,aspen_20050009_en,Scottish Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/asp/2005/9,ScottishAct,2005,9,Protection of Children and Prevention of Sexual Offences (Scotland) Act 2005
http://www.legislation.gov.uk/ukpga/2006/22/pdfs/ukpgaen_20060022_en.pdf,ukpgaen_20060022_en,UK Act Explanatory Note,Explanatory Note,2008-03-03,http://www.legislation.gov.uk/id/ukpga/2006/22,UnitedKingdomPublicGeneralAct,2006,22,Electoral Administration Act 2006
http://www.legislation.gov.uk/nia/2021/2/pdfs/niaen_20210002_en.pdf,niaen_20210002_en,NI Act Explanatory Note,Explanatory Note,2021-03-11,http://www.legislation.gov.uk/id/nia/2021/2,NorthernIrelandAct,2021,2,Domestic Abuse and Civil Proceedings Act (Northern Ireland) 2021
http://www.legislation.gov.uk/ukpga/2019/22/pdfs/ukpgaen_20190022_en.pdf,ukpgaen_20190022_en,UK Act Explanatory Note,Explanatory Note,2019-08-13,http://www.legislation.gov.uk/id/ukpga/2019/22,UnitedKingdomPublicGeneralAct,2019,22,Northern Ireland (Executive Formation etc) Act 2019
http://www.legislation.gov.uk/nia/2013/1/pdfs/niaen_20130001_en.pdf,niaen_20130001_en,NI Act Explanatory Note,Explanatory Note,2013-01-17,http://www.legislation.gov.uk/id/nia/2013/1,NorthernIrelandAct,2013,1,Superannuation Act (Northern Ireland) 2013
http://www.legislation.gov.uk/ukpga/2012/2/pdfs/ukpgaen_20120002_en.pdf,ukpgaen_20120002_en,UK Act Explanatory Note,Explanatory Note,2012-04-05,http://www.legislation.gov.uk/id/ukpga/2012/2,UnitedKingdomPublicGeneralAct,2012,2,Live Music Act 2012
